t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
35.91,4,54.4389196,18.9257429,29.0,10.4,0.84,0
35.91,5,54.4384835,18.9250657,239.7,12.0,0.84,0
35.91,6,54.4383826,18.9248217,225.2,11.0,0.84,0
35.91,7,54.4382864,18.9245133,252.7,8.5,0.84,0
35.91,8,54.4387137,18.9256014,24.5,11.0,0.84,0
37.01,0,54.4387306,18.9253220,316.5,6.8,0.84,0
37.01,1,54.4385921,18.9256547,24.7,12.0,0.84,0
37.01,2,54.4386868,18.9245301,291.2,13.4,0.84,0
37.01,3,54.4389132,18.9253238,345.0,9.4,0.84,0
37.01,4,54.4389343,18.9257583,31.7,11.0,0.84,0
37.01,5,54.4384873,18.9250298,237.7,11.8,0.84,0
37.01,6,54.4383809,18.9247898,223.5,10.9,0.84,0
37.01,7,54.4382759,18.9244921,250.3,7.9,0.84,0
37.01,8,54.4387311,18.9256280,26.0,10.4,0.84,0
38.01,0,54.4387391,18.9253180,316.2,7.2,0.84,0
38.01,1,54.4386051,18.9256710,21.1,12.5,0.84,0
38.01,2,54.4387014,18.9245046,302.7,10.3,0.84,0
38.01,3,54.4389243,18.9253189,349.7,13.2,0.84,0
38.01,4,54.4389611,18.9257717,30.7,13.5,0.84,0
38.01,5,54.4384866,18.9250211,233.8,11.0,0.84,0
38.01,6,54.4383742,18.9247591,218.3,11.8,0.84,0
38.01,7,54.4382637,18.9244703,244.8,10.0,0.84,0
38.01,8,54.4387538,18.9256250,28.0,12.3,0.84,0
39.01,0,54.4387541,18.9253003,310.9,8.3,0.84,0
39.01,1,54.4386144,18.9256852,16.9,11.8,0.84,0
39.01,2,54.4387152,18.9245060,310.2,8.0,0.84,0
39.01,3,54.4389420,18.9253233,335.4,11.8,0.84,0
39.01,4,54.4389673,18.9257829,32.5,15.2,0.84,0
39.01,5,54.4384750,18.9249909,234.3,10.7,0.84,0
39.01,6,54.4383788,18.9247349,219.6,12.9,0.84,0
39.01,7,54.4382616,18.9244387,238.6,12.5,0.84,0
39.01,8,54.4387562,18.9256343,26.1,14.6,0.84,0
40.02,0,54.4387626,18.9252955,305.2,8.9,0.84,0
40.02,1,54.4386237,18.9257124,12.8,10.9,0.84,0
40.02,2,54.4387133,18.9244887,314.3,7.8,0.84,0
40.02,3,54.4389517,18.9253027,328.0,9.1,0.84,0
40.02,4,54.4389709,18.9257875,34.2,13.8,0.84,0
40.02,5,54.4384629,18.9249529,230.8,11.5,0.84,0
40.02,6,54.4383574,18.9247117,215.7,13.8,0.84,0
40.02,7,54.4382543,18.9244171,227.9,12.7,0.84,0
40.02,8,54.4387837,18.9256624,26.9,14.7,0.84,0
41.03,0,54.4387805,18.9252866,301.0,8.6,0.84,0
41.03,1,54.4386411,18.9257277,12.0,11.1,0.84,0
41.03,2,54.4387260,18.9244699,315.1,11.7,0.84,0
41.03,3,54.4389679,18.9252756,321.5,7.4,0.84,0
41.03,4,54.4389950,18.9258102,32.7,11.6,0.84,0
41.03,5,54.4384606,18.9249226,226.6,12.5,0.84,0
41.03,6,54.4383505,18.9246673,221.3,13.8,0.84,0
41.03,7,54.4382445,18.9243850,225.0,10.7,0.84,0
41.03,8,54.4388083,18.9256672,28.0,12.4,0.84,0
42.04,0,54.4387863,18.9252728,294.0,8.2,0.84,0
42.04,1,54.4386542,18.9257462,13.6,12.3,0.84,0
42.04,2,54.4387358,18.9244378,312.3,14.9,0.84,0
42.04,3,54.4389719,18.9252673,318.5,11.0,0.84,0
42.04,4,54.4390071,18.9258295,30.9,10.6,0.84,0
42.04,5,54.4384607,18.9249090,222.2,12.8,0.84,0
42.04,6,54.4383462,18.9246481,231.5,10.9,0.84,0
42.04,7,54.4382357,18.9243804,227.6,12.4,0.84,0
42.04,8,54.4388192,18.9256832,28.0,10.5,0.84,0
43.05,0,54.4387989,18.9252524,292.2,8.3,0.84,0
43.05,1,54.4386659,18.9257542,8.2,13.4,0.84,0
43.05,2,54.4387443,18.9243998,300.6,16.0,0.84,0
43.05,3,54.4389929,18.9252584,326.4,13.6,0.84,0
43.05,4,54.4390273,18.9258331,23.9,11.6,0.84,0
43.05,5,54.4384510,18.9248687,222.0,12.2,0.84,0
43.05,6,54.4383262,18.9246305,237.9,10.3,0.84,0
43.05,7,54.4382325,18.9243502,235.2,10.1,0.84,0
43.05,8,54.4388398,18.9256915,28.1,11.1,0.84,0
