t_s,cell_id,centre_lat,centre_lon,staleness_s
50.2,83,54.4632059,18.8666626,-1.0
50.2,84,54.4632059,18.8713508,-1.0
50.2,85,54.4632059,18.8760390,-1.0
50.2,86,54.4632059,18.8807273,-1.0
50.2,87,54.4632059,18.8854155,-1.0
50.2,88,54.4632059,18.8901037,-1.0
50.2,89,54.4632059,18.8947920,-1.0
60.3,0,54.4389515,18.8572861,-1.0
60.3,1,54.4389515,18.8619743,-1.0
60.3,2,54.4389515,18.8666626,-1.0
60.3,3,54.4389515,18.8713508,-1.0
60.3,4,54.4389515,18.8760390,-1.0
60.3,5,54.4389515,18.8807273,-1.0
60.3,6,54.4389515,18.8854155,-1.0
60.3,7,54.4389515,18.8901037,-1.0
60.3,8,54.4389515,18.8947920,-1.0
60.3,9,54.4416464,18.8572861,-1.0
60.3,10,54.4416464,18.8619743,-1.0
60.3,11,54.4416464,18.8666626,-1.0
60.3,12,54.4416464,18.8713508,-1.0
60.3,13,54.4416464,18.8760390,-1.0
60.3,14,54.4416464,18.8807273,-1.0
60.3,15,54.4416464,18.8854155,-1.0
60.3,16,54.4416464,18.8901037,-1.0
60.3,17,54.4416464,18.8947920,-1.0
60.3,18,54.4443413,18.8572861,-1.0
60.3,19,54.4443413,18.8619743,-1.0
60.3,20,54.4443413,18.8666626,-1.0
60.3,21,54.4443413,18.8713508,-1.0
60.3,22,54.4443413,18.8760390,-1.0
60.3,23,54.4443413,18.8807273,-1.0
60.3,24,54.4443413,18.8854155,-1.0
60.3,25,54.4443413,18.8901037,-1.0
60.3,26,54.4443413,18.8947920,-1.0
60.3,27,54.4470363,18.8572861,-1.0
60.3,28,54.4470363,18.8619743,-1.0
60.3,29,54.4470363,18.8666626,-1.0
60.3,30,54.4470363,18.8713508,-1.0
60.3,31,54.4470363,18.8760390,-1.0
60.3,32,54.4470363,18.8807273,-1.0
60.3,33,54.4470363,18.8854155,-1.0
60.3,34,54.4470363,18.8901037,-1.0
60.3,35,54.4470363,18.8947920,-1.0
60.3,36,54.4497312,18.8572861,-1.0
60.3,37,54.4497312,18.8619743,-1.0
60.3,38,54.4497312,18.8666626,-1.0
60.3,39,54.4497312,18.8713508,-1.0
60.3,40,54.4497312,18.8760390,-1.0
60.3,41,54.4497312,18.8807273,-1.0
60.3,42,54.4497312,18.8854155,-1.0
60.3,43,54.4497312,18.8901037,-1.0
60.3,44,54.4497312,18.8947920,-1.0
60.3,45,54.4524261,18.8572861,-1.0
60.3,46,54.4524261,18.8619743,-1.0
60.3,47,54.4524261,18.8666626,-1.0
60.3,48,54.4524261,18.8713508,-1.0
60.3,49,54.4524261,18.8760390,-1.0
60.3,50,54.4524261,18.8807273,-1.0
60.3,51,54.4524261,18.8854155,-1.0
60.3,52,54.4524261,18.8901037,-1.0
60.3,53,54.4524261,18.8947920,-1.0
60.3,54,54.4551211,18.8572861,-1.0
60.3,55,54.4551211,18.8619743,-1.0
60.3,56,54.4551211,18.8666626,-1.0
60.3,57,54.4551211,18.8713508,-1.0
60.3,58,54.4551211,18.8760390,-1.0
60.3,59,54.4551211,18.8807273,-1.0
60.3,60,54.4551211,18.8854155,-1.0
60.3,61,54.4551211,18.8901037,-1.0
60.3,62,54.4551211,18.8947920,-1.0
60.3,63,54.4578160,18.8572861,-1.0
60.3,64,54.4578160,18.8619743,-1.0
60.3,65,54.4578160,18.8666626,-1.0
60.3,66,54.4578160,18.8713508,-1.0
60.3,67,54.4578160,18.8760390,-1.0
60.3,68,54.4578160,18.8807273,-1.0
60.3,69,54.4578160,18.8854155,-1.0
60.3,70,54.4578160,18.8901037,-1.0
60.3,71,54.4578160,18.8947920,-1.0
60.3,72,54.4605109,18.8572861,-1.0
60.3,73,54.4605109,18.8619743,-1.0
60.3,74,54.4605109,18.8666626,-1.0
60.3,75,54.4605109,18.8713508,-1.0
60.3,76,54.4605109,18.8760390,-1.0
60.3,77,54.4605109,18.8807273,-1.0
60.3,78,54.4605109,18.8854155,-1.0
60.3,79,54.4605109,18.8901037,-1.0
60.3,80,54.4605109,18.8947920,-1.0
60.3,81,54.4632059,18.8572861,-1.0
60.3,82,54.4632059,18.8619743,-1.0
60.3,83,54.4632059,18.8666626,-1.0
60.3,84,54.4632059,18.8713508,-1.0
60.3,85,54.4632059,18.8760390,-1.0
60.3,86,54.4632059,18.8807273,-1.0
60.3,87,54.4632059,18.8854155,-1.0
60.3,88,54.4632059,18.8901037,-1.0
60.3,89,54.4632059,18.8947920,-1.0
70.3,0,54.4389515,18.8572861,-1.0
70.3,1,54.4389515,18.8619743,-1.0
70.3,2,54.4389515,18.8666626,-1.0
70.3,3,54.4389515,18.8713508,-1.0
70.3,4,54.4389515,18.8760390,-1.0
70.3,5,54.4389515,18.8807273,-1.0
70.3,6,54.4389515,18.8854155,-1.0
70.3,7,54.4389515,18.8901037,-1.0
70.3,8,54.4389515,18.8947920,-1.0
70.3,9,54.4416464,18.8572861,-1.0
70.3,10,54.4416464,18.8619743,-1.0
70.3,11,54.4416464,18.8666626,-1.0
70.3,12,54.4416464,18.8713508,-1.0
70.3,13,54.4416464,18.8760390,-1.0
70.3,14,54.4416464,18.8807273,-1.0
70.3,15,54.4416464,18.8854155,-1.0
70.3,16,54.4416464,18.8901037,-1.0
70.3,17,54.4416464,18.8947920,-1.0
70.3,18,54.4443413,18.8572861,-1.0
70.3,19,54.4443413,18.8619743,-1.0
70.3,20,54.4443413,18.8666626,-1.0
70.3,21,54.4443413,18.8713508,-1.0
70.3,22,54.4443413,18.8760390,-1.0
70.3,23,54.4443413,18.8807273,-1.0
70.3,24,54.4443413,18.8854155,-1.0
70.3,25,54.4443413,18.8901037,-1.0
70.3,26,54.4443413,18.8947920,-1.0
70.3,27,54.4470363,18.8572861,-1.0
70.3,28,54.4470363,18.8619743,-1.0
70.3,29,54.4470363,18.8666626,-1.0
70.3,30,54.4470363,18.8713508,-1.0
70.3,31,54.4470363,18.8760390,-1.0
70.3,32,54.4470363,18.8807273,-1.0
70.3,33,54.4470363,18.8854155,-1.0
70.3,34,54.4470363,18.8901037,-1.0
70.3,35,54.4470363,18.8947920,-1.0
70.3,36,54.4497312,18.8572861,-1.0
70.3,37,54.4497312,18.8619743,-1.0
70.3,38,54.4497312,18.8666626,-1.0
70.3,39,54.4497312,18.8713508,-1.0
70.3,40,54.4497312,18.8760390,-1.0
70.3,41,54.4497312,18.8807273,-1.0
70.3,42,54.4497312,18.8854155,-1.0
70.3,43,54.4497312,18.8901037,-1.0
70.3,44,54.4497312,18.8947920,-1.0
70.3,45,54.4524261,18.8572861,-1.0
70.3,46,54.4524261,18.8619743,-1.0
70.3,47,54.4524261,18.8666626,-1.0
70.3,48,54.4524261,18.8713508,-1.0
70.3,49,54.4524261,18.8760390,-1.0
70.3,50,54.4524261,18.8807273,-1.0
70.3,51,54.4524261,18.8854155,-1.0
70.3,52,54.4524261,18.8901037,-1.0
70.3,53,54.4524261,18.8947920,-1.0
70.3,54,54.4551211,18.8572861,-1.0
70.3,55,54.4551211,18.8619743,-1.0
70.3,56,54.4551211,18.8666626,-1.0
70.3,57,54.4551211,18.8713508,-1.0
70.3,58,54.4551211,18.8760390,-1.0
70.3,59,54.4551211,18.8807273,-1.0
70.3,60,54.4551211,18.8854155,-1.0
70.3,61,54.4551211,18.8901037,-1.0
